"File","Well","Num_edges","Num_nodes","Density","Num_Communities_BHMC","Num_Communities_ASE_GMM"
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl","well001",721,1020,0.000693002691272587,NA,NA
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl","well003",1,1020,9.61168781237985e-07,NA,NA
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl","well004",77178,1020,0.0741810841983852,9,13
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl","well005",49640,1020,0.0477124183006536,6,19
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well000",2071,661,0.00473998732036226,1,19
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well001",349,694,0.000724613608617296,NA,NA
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well002",48993,1009,0.0481228900254498,5,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well003",25316,1009,0.0248663907881593,4,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well004",7209,842,0.0101683583369536,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl","well005",4180,553,0.0136686624657875,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well000",2205,672,0.0048828125,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well001",4041,780,0.00664201183431953,2,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well002",49172,1007,0.0484907534054074,5,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well003",16791,997,0.0168922011772529,3,19
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well004",13264,860,0.017934018388318,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl","well005",2846,560,0.00907525510204082,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well000",3377,685,0.00719697373328361,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well001",3779,779,0.00622733137675272,2,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well002",47329,1006,0.0467661229442431,5,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well003",20720,1000,0.02072,3,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well004",12613,860,0.0170538128718226,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000298/data.raw_20241213_18h15m.pkl","well005",1328,565,0.0041600751820816,1,20
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl","well000",1,99,0.000102030405060708,NA,NA
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl","well002",41,300,0.000455555555555556,NA,NA
"/cis/project/organoid/Dec_29_2024_ecr_results/M07914/ActivityScan/000297/data.raw_20241213_18h15m.pkl","well004",1,96,0.000108506944444444,NA,NA
